,name,key,sentences,label
7,Xbox,Xbox Live[편집],엑스박스 게임기와 Windows   용 온라인 게이밍 서비스  자세한 것은 문서 참고 콘솔 게임기 최초의 유료 온라인 게임 서비스이기도 하다  추후 엑스박스 라이브를 토대로 온라인 스토어가 제작되었다 ,3
17,라임튜브,소개[편집],안녕하세요  라임튜브입니다  라임튜브는 라임이와 함께 장난감을 가지고 놀고 그리며 숫자와 알파벳을 배우는 재미있는 동영상을 제작합니다  많은 아이들이 이 채널을 통해서 재미있게 놀며 배우는 공간이 되었으면 합니다  매일매일 업로드 됩니다     즐거운 시간 되세요       라임캐스트 소속 키즈 크리에이터이자 유튜버로 본명은 길라임      년  월   일 출생  경기도 부천시 출신의 인물이다 라임튜브 채널의 메인 유튜버이다      년   월 기준으로 구독자 수    만명을 넘어섰고  한국 유튜브 채널 중   위를 기록하고 있다 ,4
18,라임튜브,유튜버[편집],다이아 TV 소속 키즈 크리에이터 유튜버이자 라임캐스트 소속 유튜버     년  월   일 유튜브  라임튜브  채널을 개설했다  부모님이 촬영 편집 운영을 하고 있는 것으로 보인다 자매 채널인 라임아트와 라임앤토이즈  라임앤컬러즈까지 만들어서 다양한 주제의 영상을 만들어내고 있다 ,4
19,Ryan's World,개요[편집],유튜브의 키즈 크리에이터 채널  라이언은 태어난 곳은 텍사스이지만 현재 LA에 거주하고 있다      년생이며 아버지는 일본계 출신 이민자인 시온 카지  어머니는 베트남계인 로앤 카지이다  그외 여동생인 엠마와 케이트가 있다 ,4
20,Ryan's World,상세[편집],가족의 내력이 비밀로 쌓여있는데 카지는 예명이고 원래 성씨는 관 씨이다  일본어로 관은 보통 세키나 칸으로 읽기 때문에 아버지 시온 관의 조상이 중국계 화교일 가능성이 있다  다만 패밀리 채널에서 일본에 있는 할아버지 할머니도 나오는걸 보면 오래전에 이미 일본에 귀화한 모양이다  시온은 도쿄 출신이라는 말도 있고 후쿠시마 출신이라는 말도 있다  어머니 로앤의 원래 이름은 키에우 로앤 티에 응우옌으로 베트남계 이민자의 자손으로 미국에서 태어났으며 텍사스 공대를 다니다가 미국으로 유학 온 시온을 만나 캠퍼스 커플로 발전      년 라이언을 낳았다      년 정식으로 둘은 결혼했다  여담이지만 엄마 로앤은   살때 옷가게에서 좀도둑질을 하다가 걸려서   일간 구류 처벌을 받은 바 있다  가족의 내력에 대해 침묵하는것도 이런 이유 때문인듯 하다  이후 로앤은 고등학교 교사를 했고 아버지 시온은 텍사스 공대를 졸업 후 엔지니어 일을 했다  원래 라이언이 각종 장난감을 가지고 노는걸 촬영하여 올리는 영상 채널이었다      년에 장난감 리뷰 채널을 운영하면서 인기를 끌자 이 채널은 온갖 놀이나 장난감 리뷰는 물론  애니메이션 캐릭터들도 전부 리뷰하는 편이다  더해서 라이언 패밀리 리뷰 채널을 만들어 일상 생활 영상이나 여행 영상도 올리고 있다  일본계 미국인으로서의 자각이 큰 지 일본 문화 소개 영상이나 일본어 소개 영상도 자주 올리는 편이다 미국을 비롯해 전세계에서 큰 인기를 끌고 있으며 특유의 홍보성과 소문이 좋은지 구독자수가 엄청나게 높다      년  월 기준으로 구독자수는     만명  채널의 조회수는    억회로 세계 인구수를 훌쩍 넘는 수치다  그 외 관련 채널인 패밀리 채널도    만명  Gus gummy gator도    만명의 구독자수를 보유하고 있다  년 수익이 약     만 달러에 이른다고 한다  그야말로 유튜버계의 제왕이라고 할만하다  라이언좌라이언은 미국 대형 마트 체인인  월마트 와 단독으로  라이언스 월드  라는 장난감 및 의류 브랜드 판매를 시작했다  거기다 자신의 이름과 얼굴을 딴 칫솔  치약도 판매한다  유튜브 광고 조회수에 따른 수입 외에 기업들과의 협업을 통해 창출하는 수입도 있는 것이다 최고 조회수 동영상은 라이언이 워터슬라이드에서 노는 영상으로 무려   억회를 찍었다  예전에는 그래도 순수하게 노는 모습이 보였는데 요즘은 머리가 굵어젔는지 어른 뺨치는 연기도 한다  미국의 유명한 어린이 채널 니켈로디언과 협업하고 있다 ,3
22,도티,방송 역사[편집],    년부터 매일 꾸준히 영상을 올리며 상승세를 탔지만     년  월   일 영상에서 휴식과 재정비 기간을 선언하였다  재정비 기간이 끝나면 더 밝은 모습으로 돌아오겠다고 선언했으며     년   월   일  하이라이트 모음  휴식기 도중에도 한 달에 두개 꼴의 영상이 올라오면서 몇몇 팬들은 마인크래프트로 컴백했으면 좋겠다고 했었고  결국     년  월   일 마인크래프트 유튜버 도티로 컴백했다  다만  연예 활동 등으로 인해 빡빡해진 스케줄로 인해 신규 콘텐츠의 업로드가 다소 늦어질 것으로 보고 있다 ,4
33,도티,방송 특징[편집],노력과 열정으로 올라왔다고 알려진 국내 최정상 유튜브 콘텐츠 크리에이터 중  명이며 유치원생  초등학생 저학년 학부모들이 인정하는 한국 유튜브 내 저연령층으로만 승부하는 자로 도티 방송의 가장 큰 특징은 순수 클린함이다  방송 초기부터 현재까지 모든 콘텐츠에서 욕설과 성적 발언을 거의 사용하지 않으며  생방의 비중도 높아졌다 ,4
51,감스트,개요[편집],감스트는 아프리카TV에서 활동하는 인터넷 방송인이다  예명인 감스트는 노르웨이 국적 축구선수 모르텐 감스트 페데르센의 이름에서 따왔다 ,2
53,감스트,방송 스타일과 위상[편집],현 아프리카TV에서 가장 영향력이 큰 BJ들 중 한 명이다  아프리카TV 생방송 시청자 수를 최상위로 찍는 인기 BJ ,5
54,감스트,여담[편집],쿠키  치타  만두라는 이름의 고양이 세 마리를 키운다  방송과 유튜브에서 자택 공개를 했을 때  몇 번 나온적이 있다     년에 방송을 시작했는데  방송 초창기에는 얼굴을 가리고 방송했었다  그러다가     년  월  일에 얼굴을 공개했다  자세한 것은 유튜브에 남아있는 감스트  주년 영상을 보면 알 수 있다  참고로 당시 처음으로 얼굴을 공개할 때에 최효종을 닮았다는 채팅을 보고 매우 대노하였다 축구를 좋아하는데  열렬한 맨유 팬이다  처음 맨유팬이냐는 의혹이 있을 때는 이를 적극적으로 부정했고  오히려 첼시 팬 행세를 하기도 했다  본인이 본         시즌 챔피언스 리그 결승전에 박지성이 뛰지 못하자 맨유가 지길 응원했는데  상대팀 첼시의 데미언 더프  에르난 크레스포  아르연 로벤의 플레이를 보고 첼시 팬이 됐다는 식의 해명을 했다    그런데 당시 이 세 선수는 첼시에서 뛰지 않았기 때문에 이는 거짓 해명으로 드러났다  이 때문에 첼시 팬들에게는 여론이 좋지 않다 또  감스트는 과거 리버풀 FC에게 리중딱이라는 치욕스러운 별명을 널리 퍼뜨렸고  송대관의 노래 유행가의 반주에 맞춰 우스꽝스러운 노래를 지어 부르면서 조롱하는데 앞장서기도 했다  이 때부터 디시인사이드를 비롯한 인터넷 커뮤니티를 통해 리중딱과 해당 노래가 유행처럼 훅 퍼져버린 건 덤이다  이후     년에 그동안 리버풀을 조롱하고 비하한 것에 대해 진지하게 사과를 했고  두 번 다시 리중딱이라는 단어를 사용하지 않겠다고 밝혔다  이후 감스트는 특정 축구 클럽을 비하하거나 조롱하는 행위를 하지 않고 있다  학창시절 교우관계가 원만하지 못했던 탓에 트라우마로 성격이 소심하다  심지어 중학교 시절에는  년 가까이 양아치들의 빵셔틀을 하기도 했으며  중고등학교 시절 내내 종종 얻어맞거나 삥을 뜯기기도 했다고 한다  그로 인해 낯선 사람을 만나면 아무 말도 하지 못하고 얼어붙는 경우가 있으며  특히 이성과 친해지기는 커녕 대화를 나누는 것 조차 굉장히 어려워한다    특히   발음을 제대로 하지 못하는데   의사 를  으사 라고 발음하거나   황의조 를  황으조 라고 발음한다  또  못해 를  모대    곱하기 를  고바기 로 발음하는 등 전라도 방언이 자연스럽게 나온다 가창력이 좋지 않다      년  월에 있었던 김봉준  킴성태  킹기훈과의 합방에서 제대로 드러난다  목 상태가 워낙 좋지 않아 칠판을 긁는듯한 걸걸한 소리가 나는데  팬들은 가래 창법 이라 하며 눈물겨운 옹호 를 한다  하지만 의외로 고음은 잘 올리는 편이라 노래를 전문적으로 배운다면 발전 가능성은 충분하다  고음의 경우  목이 망가지기 전에는 원래 살짝 높은 미성이었던 터라 그 흔적이 남은 것으로 보인다 어휘력이 좋지 않은데 말실수에 대해서는 굉장히 예민하다  방송 초기부터 말실수를 조심하긴 했지만  나락즈 성희롱 발언 사고 이후로 더더욱 예민해졌고  여기에 감스트의 떨어지는 어휘력이 겹쳐서 웃지못할 상황이 자주 발생하기도 한다  방송 도중 평범하게 말을 하다가도 전혀 문제없는 단어의 뜻을 몰라 혼자 쩔쩔매다가  혹시 말실수를 했나 싶어 덜컥 겁을 먹는 모습을 종종 볼 수 있다 유튜브에서 밝힌 바에 따르면  월 수익은  억원대  최고 수익은  억원대라고 한다 이 영상부터 부천집 문에 소녀시대 파티 포스터가 생겼다      년   월  약     판 가까이 되는 플레이 끝에 리그 오브 레전드 랭크 게임 실버 등급으로 승급하는데 성공했다 킴성태와 감스트의 첫 만남은     년  월인데  당시 서든어택 최강팀이었던 제닉스 스톰과 같이 출전했다  당시 킴성태는 서든어택 프로게이머였다 생방송 도중 매니저들에게 매니저 채팅을 보라고 할 때에는 채팅 수위를 사리자  빡세게 채팅창을 관리하라는 일종의 지령이다 ,5
