sentence,lable
"카오스, 아키에이지, 2012년~2014년 리그 오브 레전드, 2016년 오버워치, 2017년~2018년 배틀그라운드 등 그 해에 가장 인기를 끌었던 게임마다 파고들면 최상위권을 달성할 정도로 여러 게임을 잘해서 유명해졌다.",1
어떤 게임이든지 파고들기 시작하면 최상위권을 달성하며 엄청난 실력의 재능충 모습을 보여줬다. ,1
게임 센스가 매우 뛰어난 편이며 화려한 플레이가 자주 나오는 편이다. ,1
이때는 잿불거인이 나타나기 전으로 우디르가 고인챔이라는 인식이 강해 천상계에서 아무도 우디르를 쓰지 않았으나 우디르 50판 승률 76% KDA 5.8이라는 어마어마한 수치로 챌린저에 입성했다.,1
당연히 천상계에선 원탑 우디르 유저.,1
오버워치와 비슷한 FPS게임에 재능을 보이는 파카답게 솔로/스쿼드를 가리지 않고 엄청난 에임을 보여주고 있다. ,1
"롤 PD들이 파카 방송에 모여 스쿼드를 자주 하였는데 PD들 한두 명이 0킬, 1킬을 하거나 빨리 죽어서 없더라도 멱살잡고 우승시켜주는 버스 기사 역할을 하였다.",1
플레이 스타일은 피지컬과 반응속도로 찍어누르는 재능충의 표본. ,1
뛰어난 로지컬과 상황 판단력으로 각을 재고 들어가는 타입이 아니라 일단 몸을 던지며 최대한 공격적인 포지셔닝을 잡는다.,1
4:1의 상황에서도 본인의 피지컬을 신뢰하며 절대 빼지 않고 몸을 던진다.,1
"챔피언 폭도 진 같은 챔피언보다는 베인이나 트위치, 코그모 같은 AD하이퍼캐리를 선호하며 그것이 아니라면
케이틀린이나 자야 같은 챔피언을 골라 라인전에서부터 압살을 하려 하는 챔피언을 좋아한다.",1
딸피로 살아나오는 플레이가 일품.,1
"캐리력이 높은 브루저 챔피언으로 라인전을 터트리고 미드, 바텀 순으로 똥을 퍼트리는 전형적인 탑신병자의 캐리 시나리오를 선호하는 모습.",1
" 영웅 모두 화려한 실력으로 노마이크에 솔로큐임에도 불구하고 시즌1 경쟁전 90승/0무/28패(76.3%)로 82점을 달성했다,",1
하지만 예전과 같은 플레이를 보여주지 못해 팟수들의 실망을 자아내었다.,0
오버워치와 비슷한 FPS게임에 재능을 보이는 파카답게 솔로/스쿼드를 가리지 않고 어마한 에임을 보여주고 있다.,1
"재능충답게 다른 PD들 한 두명이 0킬, 1킬을 하거나 빨리 죽어서 없더라도 멱살잡고 우승시켜주는 버스기사 역할을 하였다.",1
어마어마한 실력으로 페북에서 영상을 퍼가거나 포우 1페를 먹는 경우가 종종 있다.,1
이후 배틀그라운드를 하면서 파카가 운전을 하면 꼭 차량을 전복시키거나 심지어는 교통사고로 스쿼드를 전멸시키는 끔찍한 모습을 보여준 적이 많다. ,0
아키에이지에 빠져살던 때는 화려한 컨과 골때리는 악행들로 살짝 이름을 날리기도 했다. ,1
매 게임 할때마다 소름돋는 피지컬을 선보이며 팟수들에게 충격을 가져다주며 유명세를 날리기 시작한다.,1
이후 오버워치가 출시되고 겐지 플레이가 유명해지면서 가끔 오버워치 커뮤니티에서도 실력자로 언급된다.,1
"시즌 2 중반에 롤을 시작하여 시즌 3~2019 시즌까지 모든 시즌에서 챌린저 1위에 도달 했던 솔랭전사이자, 대리와 인성 문제로 물의를 일으켰고 매우 뛰어난 실력으로 유명한 아마추어.",1
매 시즌 꾸준히 챌린저 1위를 달성했던 리그 오브 레전드 역사상 최고의 솔랭전사로 유명했다.,1
015년 12월 기준 리그 오브 레전드 랭킹 중국 서버 1위 / 한국 서버 1위 공동 1등 달성.,1
상당히 계산적이고 상대방과의 대결에서 최선의 이익을 추구하는 플레이를 찾아내는 능력이 뛰어나다. ,1
