,sentences
0,KING JAMES 로스 앤 젤 레스 레이 커스 소속 농구선수. 현재 NBA를 대표하는 슈퍼스타로 꼽힌다.
1,"NBA 역사를 통틀어도 최 정상급 위상을 가지고 있고, 현역이면서도 역사적인 기록을 써 내려가며 마이클 조 던 이후 최고의 농구선수, 21 세기 농구 황제로 평가 받는다."
2,"실제로 미국 여러 매체에서 해마다 발표하는 전미 스포츠스타 인지도, 수입 순위에서도 항상 2위 이내에 들고 있다."
3,또 한 역대 최초로 3개 팀에서 파이널 MVP를 차지한 선수이기도 하다.
4,  자 세한 내용은 르 브론 제임스/ 플레이 스타일 문서를 의 번째 문단을의 부분을 참고하십시오.
5,데뷔를 매우 어린 나이에 했고 꾸준히 정상 급 기량을 유지했기 때문에 정규 시즌 플레이 오프 가리지 않고 수많은 기록을 쌓아 올렸다.ALL
6,- NBA 팀 16회 역대 최다 수상 [22 ]ALL- NBA 퍼스트 팀 13회 역대 최다 수상 [23]   자 세한 내용은 르 브론 제임스/ 사건 사고 및 논란 문서를 의 번째 문단을의 부분을 참고하십시오.From
7,"Saint Vincent-Saint Mary High School and AKRON, Ohio, Number 23, LeBRON JAMES! [37] [38 ]This fall, man, this is very tough, this fall, I'm going to take my talents to South Beach and join the Miami Heat. 올 가을에는…… 말하기가 쉽지 않네요."
8,"올 가을, 저는 제 재능을 사우스 비치로 가져가서 마이 애 미 히트로 이적합니다."
9,"[39] [40 ]In Northeast Ohio, nothing is given. Everything is earned. You work for what you have.I ’m ready to accept the challenge. I’m coming home. 오 하이 오에서 그냥 얻어 지는 것은 없다."
10,모든 것은 쟁취해야 한다.
11,우리가 가진 것을 위해 우린 뛴다.
12,나는 이러한 도전에 응할 준비가 됐다.
13,난 집에 돌아간다.
14,"[41]"" 나의 실패를 고대하던 놈들은 그래 봤자"
15,"내일 일어나면 이것과 상관없이 뼈 빠지게 일하고 현실 문제에 치여 살겠지만, 난 가족들과 함께 행복하게 지낼 것이다."
16,"그들은 잠시동안 이것으로 위안을 삼겠지만, 히트는 그들의 바람대로 되지 않을 것이며, 그들은 어느 순간 현실세계로 돌아가게 될 것이다."
17,""" [42 ]CLEVELAND! This is for you! [43 ]NOT 1 NOT2 NOT3 NOT4 NOT5 NOT6 NOT 7 모 어 댄 어 게임 (2008) - 주 연, 기획 나를 미치게 하는 여자 (2015) - 본인 역 [59] 스몰풋 [60] - 역 나이키 광고 < 르 브론 제임스의 공포의 방( 총 3편)> - 해당 광고는 < 파천일 검> 작가 아신( 김 영헌 )에 의해 만화화 되어 전국 나이키 매장에 배포되었다."
18,영어 및 중국어 판으로도 번역됨. 르 브론 제임스는 오 하이 오 주 애크런에서 태어났다.
19,[13] 제임스의 어머니인 글로리 아는 16 살 때 제임스를 낳았다.
20,글로리 아는 아버지 없이 르브론을 키워야 했기에 집은 매우 가난했다.
21,"[14] 르 브론의 아버지에 대해서는 몇 가지 이야기가 있지만 르 브론 본인은 "" 그런 사람 필요 없고 어머니만 있으면 되니 신경 쓰지 않는다."
22,""" 라고 말했다."
23,"어머니 글로리 아는 르브론을 아버지 없이 키워야 했고, 5살과 8살 정도의 시기에 집을 12번 가까이 옮기며 계속 전학을 하는 어려운 생활을 해야 했다."
24,[15] 르 브론 말에 따르자면 어린 아이에게는 절대로 보이고 싶지 않은 그런 것 들을 보면서 자랐다고
25,한다.
26,아버지가 없던 르브론에게 아버지나 다름 없는 사람은 에디
27,"잭 슨 이라는 인물이 있었는데, 그는 르브론의 어머니 글로리 아의 남자친구였지만 경제적으로는 무능했고 마약 거래로 감옥을 다녀오는 등 르 브론 모자에게 집안의 가장 같은 역할을 해 줄 수는 없었다."
28,"하지만 잭 슨 은 르브론에게는 자상했고, 아버지가 없었던 르브론도 주위에서 나오는 말들은 무시하고 잘 지냈다고"
29,한다.
30,"여담으로 이때 잭 슨 은 WWE를 보여주면서 르브론과 친목을 다졌는데, 르브론은 레슬러 중에 마초 맨을 제일 좋아했다고"
31,한다.
32,"이 에 디 잭 슨 은 결국 르브론이 NBA에서 데뷔하는 것을 보지 못한 채 글로리아 제임스와 헤어지는데 , 그 이유는 바로 $775,000를 담보 사기로 얻은 것에 있다."
33,이로 인해 에 디 잭 슨 은 3년 형을 선고 받고 헤어진다.
34,에 디 잭 슨 은 그 후 글로리아 제임스와 헤어지고 각종 음주 운전과 같은 사고로 휘말리는 중이다.
35,그런 르브론의 딱한 사정을 눈여겨 본 것이 초등학교 미식 축구부 친구의 아버지인 프 랭크 워 커 였다.
36,애크런 주택 관리국에서 일하던 워커는 글로리 아가 생활 기반을 마련하는 동안 르브론을 키워 주기로 했다.
37,"르브론은 태어나서 처음으로 규칙적이고 안정적인 삶을 경험했고, 워커의 다른 세 자녀와 함께 엄격한 가정교육을 받게 되었다."
38,그 결과 르브론은 개근상을 타는 모범생으로 바뀌게 되었다.
39,워커의 아내 인 팸 워 커는 글로리아에게 임대 주택을 마련해 주기도 했다.
40,그런 데 르브론이 농구에 엄청난 재능이 있다는 사실을 깨달은 워커는 그를 농구 스쿨에 보내
41,"제대로 농구를 배우게 했고 [16], 르브론은 여기서 시언 코튼, 드류 조이스 3세, 윌리 맥 기 등의 친구들과 키스 댐 브럿 [17], 드류 조이스 2세 등 훗날 고등학교 은사들을 만나게 되었다.Fab4라고"
42,"스스로를 부르던 르브론과 친구들은 점차 유명세를 떨치기 시작했고, AAU(Amateur Athletic Union) 8 학년 이하 대회에서 결승까지 진출하는 활약을 했지만 결국 67-68로 아깝게 패배하고 말았다."
43,"이후 고등학교에 진학할 무렵, 르브론은 세인트 빈 센트- 세인트 메리 (SVSM) 고등학교에 입학했다."
44,"다른 애크런에서 농구 잘하는 흑인 학생은 부 틀 고등학교에 가능 것이 관례였지만 부 틀에서는 초단 신이었던 드류 조이스 3세를 받는 것을 거절했고, 친구와 계속 농구를 하고 싶었던 르브론은 조이스 3 세가 SVSM 입학을 결정하자 미련 없이 부 틀 입학을 포기했다."
45,주로 가톨릭계 백인들이 다니던
46,SVSM은 공부 잘하기로 소문난 학교였지만 농구에서는 완전히 무명이었다.
47,[18] 그러나 Fab4 는 빈 센트- 세인트 메리를 1984년 이후 처음으로 주 챔피언으로 이끄는 것을 시작으로 엄청난 활약을 하며 지역을 들썩이게 만들었다.
48,"점점 몸이 자라던 르브론의 기량은 이미 고등학생을 초월한 수준이었고, 시합 중에 비트윈 더 렉 덩크를 작렬시킬 정도였다."
49,그는 3년이나 연속으로 오 하이 오 주의 미스터 바스켓 볼로 선정되었을 정도로 싹수가 보였다.
50,"NBA의 전설 중 하나 인 빌 월 튼 [19] 은 르 브론 제임스가 한창 고등학교에서 뛸 시기에( 졸업 시즌이 아닌) 그의 경기를 보고 "" 저 아이는 지금 당장 NBA에 가도 주전으로 뛸 수 있다."
51,""" 라고 칭찬했다."
52,실제로 슬 램 매거진 표지를 장식하기도 하고 고등학교 때 받을 수 있는 상이란 상을 다 휩쓸었다.
53,친구와 함께 하기 위해 농구 명문을 포기하고 무명 팀에 입학하여 그 팀을 전국 최강으로 만드는 만화 같은 이야기에 언론의 주목도는 엄청났다.
