,sentences
0,수상한 미남들 과의 수상한 대화가 시작된다!
1,아무 생각 없이 스마트 폰으로 게임을 찾고 있던 당 신. 수상한 메신저라는 앱을 보고 호기심에 다운로드했다.
2,"앱을 통해 ""Unknown"" 이라는 대화 명의 사람과 대화를 하게 되고 그 사람의 요청에 어느 오피스텔로 가게 된다."
3,"오피스텔에 발을 들이자마자 갑자기 꽃 미남들이 가득 한 단 톡 방으로 연결이!? 우여곡절 끝에 대화방의 참가자들이 속한 비밀 협회, RFA에 가입하게 되는데...? 앞서 정보가 일부 공개되었던"
4,데려온 아이가 무산되고 새로 만들어 진 프로젝트. 초호화 성우 진을 자랑하는 모바일 게임이다.
5,음악은 네 임 리스 프로젝트로 체리츠와 연을 맺은 불꽃 심장이 담당했다.PV에서
6,"알 수 있듯 이 게임은 게임 속에서 다루는 단체의 메신저 형태를 띠고 있는데, 모든 대화가 실시간으로 진행된다."
7,"문자, 전화, 채팅이 모두 가능하고 채팅 방은 특정 시간대가 되면 오픈되는데, 다음 채팅 방이 열리기 전까지 접속하면 대화에 참여할 수 있다."
8,선택지를 고름으로써 인물들과 대화해 호감도를 쌓는 방식이다.
9,채팅이 끝나면 대화 내용과 관련된 문자가 오고 랜덤하게 전화가 걸려 오기도 한다.
10,"캐시 아이템을 이용해 전화를 직접 걸 수도 있으며 일부 전화를 받을 수 없는 상황을 제외하고는 새벽에도 전화를 받는데, 매일 모든 시간대마다 전화 내용이 다르다."
11,게다가 풀 보이스다!
12,한 캐릭터 당 11일의 플레이 타임이 소요되며 캐시 아이템으로 하루를 당길 수 있다.
13,"11 일째 되는 날에 엔딩을 볼 수 있으며 캐릭터 당 3개의 배 드엔딩과 채팅 창에 참여하지 않고 시간만 날릴 경우 얻을 수 있는 호감도 부족 엔딩 2개, 노멀/ 굿 엔딩으로 총 7 종씩의 엔딩이 존재한다."
14,여담으로 그냥 PV 나 줄거리만 봤을 때는 상당히 밝아 보이지만 막상 게임 진행하다 보면 스토리가 꽤나 우울하고 어두운 부분이 상당히 많다.
15,[6 ]2018 년 6월 29일 중국 어판이 발매되었다.
16,"대만의 게임 회사 SNSplus에서 퍼블리싱하며, 대만, 홍 콩, 마카오 지역에 서비스된다."
17,"戀語聊天室( 연어요 천 실, 사랑의 말을 하는 채팅 방이라는 뜻) 이라는 가제로 알려 졌으며, 최종 확정된 정식 중판 명칭은 神秘信使( 신비 신사, 신비한 메신저라는 뜻) 이다."
18,"2018년 8 월 발렌타인 애프터 엔딩이 추가 되었으며, 지속 적인 업데이트를 통해 DLC도 모두 추가 되어 있다."
19,대만 에도 민트아이 패키지 판매가 개시되면서 어나 더 스토리가 추가 되었다.
20,"SNSplus는 페이스 북 생방송 [7] 을 비롯하여 공식 테마 카페, 공식 파티, 코믹 월드 타이완 참가, 공식 여행 패키지 등 적극적인 공식 이벤트 활동을 하여 한국 플레이어들의 부러움을 샀다."
