,sentences
0,감스트는 아프리카 TV에서 활동하는 인터넷 방송인이다.
1,예명인 감스트는 노르웨이 국적 축구선수 모 르 텐 감 스트 페데르센의 이름에서 따왔다.
2,"감 스트의 방송 역사를 담은 영상 감 스트는 현재 아프리카 TV에서 가장 영향력이 큰 BJ 중 한 명이 자, 최상위의 생방송 시청자 수와 더불어 엄청난 유 튜브 화력 및 광고 몸값을 동시에 보유한 인터넷 방송인이다."
3,"[53] 인터넷 방송계에서의 위치를 증명하듯 아프리카 TV BJ 대상에서 버라 이어 티, 스포츠, 게임 부문을 비롯하여 분야를 넘나들며 수 년 간 대상을 차지해 왔다."
4,[54] 또한 인터넷 방송인 출신으로서 TV 방송에 성공적으로 진출한 경험이 있는 몇 안되는 인물이 자 현재까지 유일한 인터넷 방송인 출신으로서 지상파 연예대상 시상식 수상자이기도 하다.
5,[55] 인터넷 방송인이 아닌 준 연예인으로서의 커리어는 이 때 정점을 찍었었다.
6,단순한 연예계를 넘어 K 리그 홍보대사를 할 정도로 굵직한 대외적인 활동을 펼치기도 했다.
7,[56] 종합적으로 봤을 때 대한민국 인터넷 방송계에서 인기 연예인에 준하는 입체적인 커리어를 지닌 방송인으로 봐도 무방하다.
8,감스 트는 2012년 2월 17일부터 아프리카 TV에서 피 파 온라인 2 BJ로 방송을 시작했으며 이 당시에는 대학교 학업과 병행하면서 방송을 하였지만 각종 혜 자 리액션들과 재치 있는 상황 극 등 자신의 매력을 어필하며 시청자들의 사랑을 조금씩 받고 있었다.
9,그러나 2013년 11월 30일 감 스트 자신이 중대 방송으로 개그맨이 되기 위해 많은 준비가 필요 하다는 이유로 방송 활동을 중단하겠다고
10,선언하며 감 스트 방송 인생의 잠시 동안의 휴식기가 있었다.
11,그 후 2015년 5월 15일 개그맨 시험을 포기하고 다시 아프리카 TV로 복귀했으며 이전보다 한층 더 재미있는 모습을 보여줌과 동시에 많은 레 전드 사건이 생기게 된 일이 있기도 해서 감 스트라는 이름을 널리 알리게 된 시기이기도 하다.
12,"2016년부터 피 파 온라인 3 뿐만 아니라 축구 중계, 보이는 라디오, GTA 5와 같은 스팀 게임을 콘텐츠로 진행하기도 하고 감 컴퍼니가 이때 만들어 져 그들의 일상을 찍는 등 종합 콘텐츠 방송을 지향하기 시작했다.2018"
13,년부터 인터넷 방송 이외의 영역에 발을 들이기 시작했는데 그 시작은 K 리그 홍보대사 위촉이다.
14,2018년 2월 26일 감스트는 K 리그 2018 시즌 홍보대사로 위촉 됐으며 이듬해 2019 시즌까지 연임하게 된다.
15,또 한 본래 진행하던 축구 중계도 분야를 넓혀 2018 러시아 월드컵과 2018 자 카르타 팔렘방 아시안 게임의 MBC 소속 디지털 해설위원으로 참여 지상파 방송에 출연하였다.
16,"이후 MBC 라디오스타, 진짜 사나이 300 같은 메이저 예능 프로그램에도 출연하게 되면서 준 연예인 급 활약을 한다."
17,이후 연말 공로를 인정받아 2018 MBC 방송 연예대상 신인상을 수상한다.
18,2018년 11월 30일 K 리그 1 인천 유나이티드와 전 남 드래곤즈의 경기에서는 최초로 생방송 해설위원으로 데뷔하였으며 2019년 3월 26일 대한민국 대 콜롬비아 평가전 MBC 해설위원으로 나서기도 했지만 해설 자질 논란이 일자 자숙의 의미로 해설위원 자리를 더 이상 맡지 않겠다고
19,밝힌다.
20,"약간의 잡음이 있긴 했지만, 그래도 인터넷 방송이나 지상파 방송 곳곳에 얼굴을 비추며 연예인이나 다름없는 활동을 지속하고 있었다."
21,그런 데 2019년 6월 18일 나락 즈 성희롱 발언 사건이 터지면서 착실히 쌓아가 던 연예인으로서의 평판과 커리어가 한순간에 물거품이 되어 사라지고 말았다.
22,겸직하고 있던
23,"K 리그 홍보대사 활동도 잠정 중단되었으며, 각종 지상파 방송 프로그램 출연도 중단되었다."
24,이후 감스트는 자신의 인스타 그램 계정을 삭제하고 유 튜브 채널에 사과 영상을 올린 뒤 자숙 시간을 갖는다.
25,해 당 사건이 일어난지 2개월이 지난 2019년 8월 24일 복귀 방송을 함으로써 인터넷 방송인으로써 활동을 재개하였다.
26,다소 살이 찐 체형이었던
27,2개월 전의 모습과 달리 홀쭉하다 못해 아파 보일 정도로 여윈 모습으로 나타나 시청자들을 놀라게 했다.
28,[57] 복귀 이후에는 본래 운영하던 유 튜브 채널 이외에 게임 플레이 전용 채널인 겜스트 채널을 만들어 2020년 기준으로 계속 활동 중이다.
29,[58 ]2019 년 12월 부터는 리그 오브 레 전드 플레이를 시작했다.
