,sentences
0,"Afreeca Freecs#GOFREECS 2016년 스토브리그에서 기존 멤버들과 코칭 스태프들이 전원 계약 만료되었고, 그렇게 팀이 공중 분해되어 완전히 물갈이가 된 채 2기 아프리카 프릭스가 출범하게 되었다."
1,팀 약자는 AF. [3] 수상 기록 리그 오브 레 전드 2015 League of Legends Challengers Korea Spring 1차 토너먼트 우승 SK telecom T1 K[4] →Anarchy →Winners2018 LOL Champions Korea Spring 준우승 SK telecom T1 →Afreeca Freecs→Griffin2018 리프트 라이벌 즈 준우승 LCK[5] →LCK [6] →LPL [7 ]2019 LoL KeSPA Cup ULSAN 우승 Griffin→Afreeca Freecs→DAMWON Gaming 아프리카 TVABKO 핫 식스 GOAL STUDIO 의류 Rebels Anarchy2015Afreeca Freecs [8 ]201620172018201920202021 크게 보면 아프리카 1 기인 아나 키 멤버들 시절과 아프리카 2 기인 에이스 탑 솔 러 + 팀 레 전드 스피릿 시절로 팀의 플레이 스타일이 완전히 바뀐다.
2,"또 한, 2기에는 매년 팀 멤버의 변화가 있었는데 이때마다 팀의 플레이 스타일이 계속 달라지는 것이 특징이다."
3,"물론, 이 팀도 결국 할 게 없어 지면 돌고 돌아서 탑 캐리로 귀결된다."
4,그 외에 특징적인 점이라면 팀 컬러가 확 바뀐 전적이 있음에도 중 위권 수문장 역할을 기가 막히게 잘한다.
5,"그래서 붙은 별명이 5 프리 카. 심지어 16,17 시즌은 4 시즌 동안 계속 5위만 했고 20 시즌도 6위 ,4 위라"
6,평균 순위가 딱 5위다.
7,"구 아나 키 시절에는 강 팀을 잘 때려잡고 약 팀에게 나눠 주는 바람에 중위권을 수성했다면 [9], 현재는 상위권을 못 뚫는 대신 하위권에게 양학을 하면서 벽을 쌓아서 중위권을 형성한다는 점이 다르긴 하다. 기간 순위대회 결과 상대 팀 획득 상금 2014.06.052 차 예선 HOT6 Champions Summer 20140:1Prime Sentinel-2014.07.2212 강 IT ENJOY NLB Summer 20140:2IM #2₩ 500,0002015.02 .12 우승 2015 League of Legends Challengers Korea Spring 1차 토너먼트 3:2Winners₩ 10,000,0002015.03 .1016 강 2015 League of Legends Challengers Korea Spring 2차 토너먼트 0:2Hungry-2015 .05.15A 조 2위 2015 SBENU LoL Champions Korea Summer/ 승강 전 2:1Winners-2015 .08.088 위 2015 SBENU LOL Champions Korea Summer1 :2kt 롤 스터₩ 10,000,0002015.11 .105 위 ~8 위 NAVER 2015 LoL KeSPA Cup1 :2ESC Ever₩ 5,000,0002016.04 .135 위 2016 꼬깔 콘 LOL Champions Korea Spring0 :2Jin Air GreenWings₩ 15,000,0002016.08 .085 위 2016 코카- 콜라 제로 LOL Champions Korea Summer0 :2Samsung Galaxy₩ 15,000,0002016.09 .013 위 리그 오브 레 전드 2016 월드 챔피언십/ 선발전 1:3 삼성 갤 럭 시 -2016.11.109 ~14 위 2016 LoL KeSPA Cup0 :2MVP-2017 .04.075 위 2017 LOL Champions Korea Spring0 :2MVP₩ 15,000,0002017.08 .125 위 2017 LOL Champions Korea Summer0 :2SK 텔레콤 T1₩ 15,000,0002017.11 .269 ~12 위 2017 LoL KeSPA Cup/1 라운드 8 강 0:2Griffin₩ 5,000,0002018.04 .14 준우승 2018 LOL Champions Korea Spring1 :3KING-ZONE DragonX₩ 60,000,0002018.08 .183 위 2018 LOL Champions Korea Summer2 :3Griffin₩ 30,000,0002018.10 .215 ~8 위 리그 오브 레 전드 2018 월드 챔피언십 0:3Cloud 9$ 258,0002018.12 .275 ~8 위 2018 LoL KeSPA Cup0 :2Griffin₩ 5,000,0002019.03 .308 위 2019 스무 살 우리 LoL Champions Korea Spring0 :2SK 텔레콤 T1₩ 10,000,0002019.08 .215 위 2019 우리 은행 LoL Champions Korea Summer1 :2SK 텔레콤 T1₩ 15,000,0002019.09 .034 위 리그 오브 레 전드 2019 월드 챔피언십/ 선발전 1:3KING-ZONE DragonX-2020.01.05 우승 2019 LoL KeSPA Cup ULSAN3 :0SANDBOX Gaming₩ 40,000,0002020.04 .156 위 2020 우리 은행 LoL Champions Korea Spring0 :2T1₩ 10,000,0002020.08 .284 위 2020 우리 은행 LoL Champions Korea Summer0 :3Gen .G Esports₩ 20,000,0002020.09 .083 위 리그 오브 레 전드 2020 월드 챔피언십/ 선발전 1:3T1-2020 .12.239 ~10 위 2020 LoL KeSPA Cup ULSAN0-4DAMWON Gaming₩ 3,000,0002019 년 서 머 시즌 기준으로 vs SKT T1 50전 26승 24패로, 전세계에서 유일하게 SKT 상대로 상대 전적에서 앞서고 있었다."
8,매치 승 기준 11승 10패로 최초로 SKT를 상대로 매치 승 10패보다 10승을 빨리 기록한 팀이다.
9,[12 ]LCK 역사상 전 라인 모든 선수가 교체된 일명 ' 공중 분해' 가 된 다섯 번째 팀이다.
