,sentences
0,프로젝트 스킨 시리즈 1 세대 2 세대 3 세대 4 세대 프로젝트: 야스오 프로젝트: 이 프로젝트: 피 오라 프로젝트: 레 오나 프로젝트: 루시안 프로젝트: 제드→ 프로젝트: 애 쉬 프로젝트: 에코 프로젝트: 카타리나→ 프로젝트: 베인 프로젝트: 바이 프로젝트: 진→ 프로젝트: 파 이크 프로젝트: 징크스 프로젝트: 워윅 프로젝트: 이 렐 리아 프로젝트: 아 칼리 프로젝트 세계 관은 리그 오브 레 전 드의 평행 우주 세계관이다.
1,"리그 오브 레 전 드의 지역 필트 오버 그리고 자운 (Upper City/ Lower City) [1] 의, 사이버 펑크, 디스 토 피아적인 미래를 배경으로 한다."
2,프로젝트 시리즈의 배경은 마치 SF 영화에서 나 나올 법한 미래의 첨단 도시의 모습이다.
3,"[2] 사이버 펑크 장르답게 수많은 로봇과 기계들이 등장하는데, 이곳에 등장하는 챔피언들은 일부분만 기계화했거나, 전신이 모두 기계화된 경우도 있다."
4,또는 실제로 인공지능이 뛰어난 기계들이 등장한다.
5,때문에 프로젝트 스킨 시리즈의 챔피언들은 모두 인간형 챔피언 이면서도 워윅 [3] 프로젝트 스킨의 콘셉트에 걸맞는 칼이나 총 등을 무기로 가지고 있으며 이 스킨들을 보면 알 수 있지만 모두 프로젝트 특유의 홀로 그램 효과를 가지고 있다.
6,"또 한 프로젝트 챔피언들 중 빌 런 포지션의 챔피언들은 장비나 스킬의 이펙트가 붉은 계열 컬러링의 이펙트로 이루어져 있는 것이 특징. [4] 시네마 틱 영상에 항상 보이는 역 삼각형 모양의 상징물이 있는데, 프로젝트 자체를 상징하기도 하며 거의 모든 챔피언의 이펙트에 이 상징물이 필수로 들어간다."
7,프로젝트: 유니 버스는 공식적으로 두 가지 스킨 라인을 포함한다.
8,"프로젝트 스킨/ 프로그램 스킨 [5] 프로젝트는 인간 챔피언들 [6] 의 기계 용병화를 표현한 시리즈 이지만 전투 기계, 메카 시리즈는 인간보다는 비인간적인 생김새 [7 ]를 지닌 챔피언들이 가지는 스킨이다."
9,"프로젝트 스킨 시리즈는 수장인 애 쉬를 중심으로 반군 이자 저항 군을 이끌고 있는 지네 틱 세력 [8] 과 제드를 중심으로 반군을 진압시키려는 방첩 부대, 그리고 파이크를 중심으로 프로젝트 사에 복수하려는 폐기물과 그 외의 세력 [9] 을 다루고 있다."
