,sentences
0,"대한민국의 정보 유 튜버. 주로 게임 리뷰, 게임업계 평론 , 게임 뉴스를 다루며, 영상 업 로드는 랜덤이다."
1,영상을 보면 굉장히 병맛이다.
2,디씨 쪽 넷슬랭도 간혹 쓰이고 욕도 섞인다.
3,예전엔 오버워치나 배 틀 그라운드도 하였지만 지금은 거의 하지 않고 있다.
4,영상의 스크립트를 쓰는 능력은 다른 게임 유튜버들과 비교해서 썩 좋지 않다.
5,"동일한 어휘를 지나치게 반복해서 쓰는 경향이 있고, 문장을 적절히 끝맺지 않고 장황하게 늘리는 편이다."
6,수식 어구를 잔뜩 붙여서 영상 기준 몇 컷 동안 대사를 치는데 전체 문장을 기록하고 보면 그 중에서는 그게 겨우 주어에 해당하는 등 대사 요점의 완급조절이 부족하다.
7,"또한 서로 다른 문장들을 ~ 했으며, ~ 이며, ~ 했고 등의 표현을 사용하여 계속해서 이어 나가는 버릇이 굉장히 심하다."
8,이 때문에 의미를 생각하며 듣기에 거슬리고 피로감을 주는 면이 있다.
9,"딕션도 좋지 않은 편인데, ' ㅅ' 과 ' ㅈ' 발음이 특유의 콧소리와 섞여 소리가 늘어지는 편이라 듣다 보면 말이 뭉개지는 느낌이 있다."
10,본인 입으로 콘솔은 플레이스테이션 쪽으로 편향되어 있다고
11,말했다.
12,"그 점을 방증하듯, 최근 플레이스테이션 5와 엑스 박스 시리즈 X를 비교하는 영상에서 엑스 박스를 넷플릭스에, 플스 5를 아이맥스에 비교하는 상황에 맞지 않는 비유를 해서 비웃음을 산 바가 있다."
13,해 당 비유는 당연히 말도 안되는 게 PS5를 아이맥스에 비교하는 것은 XSX보다 성능적으로 우위에 있을 때나 가능한 비유이다.
14,"또 XSX는 게임 패스를 무조건 구독해야 하는 것이 아니라 선택지이기 때문에 굳이 영화관에 비유하자면 XSX는 오리지널 영화를 당일부터 아이맥스 상영관과 넷플릭스에 개봉하는 선택지를 주는 것이고, PS5 는 2D 상영관에 가야만 볼 수 있는 오리지널 영화를 개봉하는 것에 가깝다."
15,이에 대한 일절의 사과 문이나 공지도 없이 그 부분과 다른 논란이 일 던 부분만 삭제하고 재업해서 커다란 논란이 되고 있다.
16,기술적인 내용에서는 자의 적인 해석에 의존하고 있어 완전히 틀린 정보를 전하기도 한다.
17,대표적인 예로 발로 란트의 소개에서 틱 레이트 관련하여 서버 개수나 서버 종류인 것처럼 표현하였다.
18,"# 이는 해외 웹진 기사를 통한 내용인데, 기술적인 상식이 없이 번역한 흔적이다."
19,"# [3] 해당 영상 부분에서 좀 더 기다리면 4분 50초에서 틱 레이트에 대한 설명은 제대로 표기를 해 놓았지만, ""128 개의 서버"" 로 표현한 것을 보면 이러한 기술적인 내용을 이해하지 못한 것이다."
20,[4] 또한 게임 자체에 대한 이해도도 떨어진다는 지적이 나오고 있다.
21,몬스터 헌 터( 영화) 의 트레일러 공개 이후 트레일러에 대한 비판이 나오자 흑 열전구도 똑같이 트레일러에 대한 비판 영상을 올렸는데 그 과정에서 ' 감독이 몬 헌 안해보고 만들었다는 거에 손 모가지를 건다' 라는 식으로 비난했다.
22,그러나 해당 영상에서 흑 열전 구는 활( 몬스터 헌 터 시리즈 )를 보고 라이트 보우라고 부르는 모습을 보여줬는데 이 때문에 비판이 나왔다.
23,그 외에도 쌍검( 몬스터 헌 터 시리즈) 의 귀인화 효과를 보고 ' 크레 토스도 아니고 왜 불을 쓰냐
24,' 라고 지적하기도 했다.
25,[5] 흑 열전 구는 아이스 본은 하지 않았지만 월드는 80시간 정도 플레이 했다고
26,인증 샷을 올리며 자신과 지인들이 모두 대검 등의 무기만 사용해 라이트 보우와 활을 착각했다고
27,밝혔다.
28,"여기서도 라이트 보우 건을 "" 라이트 보우"" 라고 부르는 모습을 보여줘 비판을 받았으며 또한 해당 영상의 비판점은 ' 흑 열전 구 본인도 몬 헌에 대해 자세히 알아보지 않고 영상을 만들면서 남을 비난한다' 라는 이중 잣대에 대한 지적인 거지 진짜 몬 헌 을 했냐"
29,안했냐
30,는 주요 논점이 아니였다.
31,[6] 이후 흑 열전 구는 영상과 해명 문을 모두 내리고 신뢰성을 떨어트려 죄송하다는 사과 문을 개시했다.
32,# 하지만 덧글은 단순 게임 무장 이름 하나 틀려서 공격 받는 걸로 빠들이 본질을 흐리며 쉴 드치는 모습을 보이고 있다.
33,"지나치게 사이버 렉 카 성향이 강하다 이슈가 터진 게임 관련 정보를 1~2 일내에 빠르게 영상을 올리는데 본인의 게임 배경지식이 적어서 알고 있는 정보도적 고 조사를 할 시간도 부족해 이에 따라 팩트체크도 안된 것 들을 사실인 마냥 올리는 경우가 잦고 논란이 생기면 한 일주일 방치하다가 조 회수 쪽 빨아먹고 비공개 처리하는 경우가 부지기수, 이로 인해 영상 정보의 퀄리티가 전체적으로 좋다고"
34,볼 수 없는 편. 로스트 아크 출시 후 2일 만에 만렙을 찍었다고
35,한다.CGV에서
36,RVIP 일 정도로 영화를 좋아하고 즐겨 보는 편이라고 한다.
37,메탈 킴과도 친분이 있는지 영상에서 메탈 킴을 언급하기도 한다.
38,굉장한 페스티벌 매니아이다.
39,1년에 있는 모든 EDM 페스티벌을 갈 정도로 전자음악을 좋아한다.
40,"특히 하우스 장르를 즐겨 듣는데 Confession 이라는 곳에 Tchami, Malaa를 굉장히 좋아한다"
