,name,key,sentences,label
0,3D운전교실,개요[편집],"2016년 12월 22일부터 바뀌는 대한민국 운전면허시험을게임을 통해서 연습할수 있는 시뮬레이션 앱입니다.장내기능시험과 도로주행시험을 연습할수 있습니다.바뀌는 감점내용과 감점항목을 게임에 실제 적용하였습니다.계속 업데이트하며 더 좋은 앱으로 만들어 가겠습니다.John 3:16이 1인 개발하는 게임이자, 운전면허 학습용을 목적으로 제작한 학습용 게임이자 운전 시뮬레이션 게임이지만, 현재 상황으로는 오픈 월드 사실상 한국버전 포르자 호라이즌 게임이다. 약칭 운교로 불린다.",2
1,3D운전교실,소개[편집],"2015년 2월부터 제작되었으며# 2016년 12월 4일에 안드로이드를 통해 출시되었다. 운전면허시험이 개정된 이후 어려워진 걸 생각해 개발자가 개정된 면허시험의 내용을 게임화한 것이다. 2017년 8월 21일부터 iOS도 지원하며 자유주행, 장내기능시험과 도로주행시험이 구현되어 있다.2019년 후반 기준으로 Google Play 다운로드 수는 약 1000만이다. 2016년 12월에 이 앱의 다운로드 수가 1만에서 5만을 웃돌았지만 2017년이 들면서 급격히 늘어난 것을 알 수 있다. 2020년 현재는 하술할 초딩들의 대규모 유입과, 이에 개발자가 적절하게 대처하지 못한 점으로 인해 15세 미만 저연령 유저들 한정으로 큰 인기를 끌고 있고, 나머지 연령대에서는 기피하는 게임이다. 이는 장기적으로 아직까지 한국에서 영향력이 큰 게임 규제론자들의 규제를 강하게 할 수 있는 명분이 되었다.출시 초반에는 실기시험인 장내기능시험과 도로주행시험만 구현되었지만 꾸준한 업데이트[4]를 통해 자유주행이 생겼다. 그래픽 퀄리티도 그다지 좋지는 못하나 자동차에는 신경을 쓴 것이 보인다.",2
2,3D운전교실,모드[편집],장내 기능 시험자유주행도로 주행 시험경기장자유주행기록측정,0
3,3D운전교실,차량 목록[편집],  자세한 내용은 3D운전교실/차량 목록 문서를의 번째 문단을의  부분을 참고하십시오.,0
4,3D운전교실,맵[편집],  자세한 내용은 3D운전교실/맵 문서를의 번째 문단을의  부분을 참고하십시오.,0
5,3D운전교실,NPC 인물[편집],"남자와 여자 캐릭터, 교통경찰이 있다. 예외로 인물은 아니지만 강아지도 있다.남자 캐릭터는 예전에는 파란색 체육복을 입고 있었으나, 업데이트로 회사원의 복장을 입고 있는 인물로 교체되었다. [5]여자 캐릭터는 검은색 긴 치마를 입고 있고, 긴 흑발 머리이다.23.4 버전에서 NPC 인물이 3D화 되었다. 동시에 그림자도 추가되었다.교통경찰은 일반적인 경찰 복장을 하고있다. 그리고 교통경찰을 자동차로 박으면 자동차가 튀어오르는 기능이 있다. [6]참고로 초기 버전에는 빨간색 옷을 입고있는 남자 캐릭터도 존재하였으나 삭제되었다.",2
6,3D운전교실,외국어[편집],"현재 22개의 언어를 지원한다. 심지어, 이 언어들로 전도영상이 모두 번역되어 있다. [7] 현재는 내비게이션에도 외국어 지원이 된다.",0
7,3D운전교실,비판 및 문제점[편집],  자세한 내용은 3D운전교실/비판 및 문제점 문서를의 번째 문단을의  부분을 참고하십시오.,0
8,3D운전교실,버그[편집],  자세한 내용은 3D운전교실/버그 문서를의 번째 문단을의  부분을 참고하십시오.,0
9,3D운전교실,업데이트 내역[편집],  자세한 내용은 3D운전교실/업데이트 내역 문서를의 번째 문단을의  부분을 참고하십시오.,0
10,3D운전교실,유튜브[편집],  자세한 내용은 3D운전교실(유튜버) 문서를의 번째 문단을의  부분을 참고하십시오.,0
11,3D운전교실,기술[편집],"파워슬라이드: 가속을 하여 속도를 빠르게 하고, 원하는 방향으로 핸들을 튼다.백스핀: 차가 후진을 하고 있을 때 핸들을 가고 싶은 쪽으로 확 꺾고 기어를 D로 한 다음 악셀을 밟는다. 그러면 차가 유턴을 하며 달리게 된다.슈퍼 브레이크: 슬라이드 사용시 사이드 브레이크를 당기면 확실히 더 빨리 제동되는 것을 확인할 수 있다.360°스핀: G70, 카마로로 스티어링을 오른쪽이나 왼쪽으로 돌리면서 악셀레이터를 밟으면 된다.관성 드리프트 핸들과 페달 조절이 까다롭기 때문에 초보한테는 어려울수있다. 아우디 R8 이랑 FXX-K 로해야 잘된다. 시도 영상",0
12,3D운전교실,게임 내 요소[편집],,0
